01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
G3313,Sony mt6735 G3313,Sony G3313
G3426,Sony mt6757 G3426,Sony G3426
G36C1G,Andromax G36C1G qcom Haier Smartfren G36C1G,Haier Andromax G36C1G
g3ds,g3ds lineage_g3ds LGE lge g3,LGE g3ds
g3u,HTC htc_europe htc HTC Desire 300 g3u,HTC Desire 300
G4,alps mt6592 JY-G4S JIAYU G4,Alps JY-G4S
G4S,alps mt6592 G4S JY-G4S JIAYU,Alps JY-G4S
g4stylus,g4stylus_crk_us g4stylus LGE lge LG-H634,LGE LG-H634
g4stylusn,LGMS631 g4stylusn_mpcs_us LGE MetroPCS g4stylusn,LGE LGMS631
g525,huawei HUAWEI G525-U00 cm_g525 Huawei HUAWEI g525,HUAWEI G525-U00
G620S-L01,qcom G620S-L01 lineage_cherry Huawei HUAWEI,HUAWEI cherry
G700,G700 mt6589 Huawei,Huawei G700
g730-u00,huawei g730-u00 mt6582,G730-u00
G750-T00,MT6592 G750-T00 Huawei,Huawei G750-T00
g807_d1_jk908_qumo,QUMO g807_d1_jk908_qumo mt6592 ratech92_wet_rlk_jb9 QUMO Quest 510,QUMO Quest 510
G8141,Sony qcom G8141,Sony G8141
G8142,Sony qcom G8142,Sony G8142
G8231,Sony qcom G8231,Sony G8231
G8232,Sony G8232 qcom,Sony G8232
G8341,Sony qcom G8341,Sony G8341
G8342,Sony G8342 qcom,Sony G8342
G8343,Sony G8343 qcom,Sony G8343
G8441,Sony G8441 qcom,Sony G8441
g9x,amlogic ShiningWorth G9CX g9x MXQ,ShiningWorth G9CX
Galaxy A3(2016),Galaxy A3(2016) SM-A310F/MTS-982O Samsung mt6572,Samsung SM-A310F/MTS-982O
Galaxy A5,Galaxy A5 sc8830 Samsung Samsung Galaxy A5,Samsung Galaxy A5
Galaxy A9,samsung mt6580 Samsung Galaxy A9 SM-A9000,Samsung SM-A9000
Galaxy J7,samsung Galaxy J7 mt6582 SM-J700H,Samsung SM-J700H
Galaxy J8(2016),Galaxy J8(2016) Samsung SM-J800FN mt6572,Samsung SM-J800FN
Galaxy Note 5,samsung Galaxy Note 5 mt6582,Samsung Galaxy Note 5
Galaxy S4 Zoom,Galaxy S4 Zoom Samsung MSM8674AB,Samsung Galaxy S4 Zoom
Galaxy S5,samsung Galaxy S5 universal5410,Samsung Galaxy S5
Galaxy S6 Edge,SM-G925F Galaxy S6 Edge samsung Samsung samsungexynos7420,Samsung SM-G925F
Galaxy S6,samsung Galaxy S6 Samsung SM-G920F samsungexynos7420,Samsung SM-G920F
Galaxy S8,samsung mt6580 Galaxy S8 SM-G9500,Samsung SM-G9500
Galaxy s9,Galaxy s9 my70 Samsung unknown my70_global_com_nr,Samsung unknown
galaxy5,cm_galaxy5 galaxy5 gt-i5500board Samsung GT-I5500,Samsung GT-I5500
GalaxyS8+,GalaxyS8+ mt6580 Samsung Android,Android GalaxyS8+
gandof_cheets,Toshiba Chromebook 2 (2015 Edition) gandof_cheets google gandof cheets,Google Toshiba Chromebook 2 (2015 Edition)
gaophone72_we_jb3,alps gaophone72_we_jb3 TWZ A49 mt6572,Alps TWZ A49
garda3gcmcc,samsung GT-S7898 garda3gcmcc garda3gzm sc8825,Samsung GT-S7898
gardalteMetroPCS,SGH-T399 samsung universal3470 gardalteMetroPCS,Samsung SGH-T399
gardaltetmo,SGH-T399 samsung cm_gardalte universal3470 gardaltetmo,Samsung SGH-T399
gbox_q3,amlogic G-Box Q3 Matricom gbox_q3,Matricom G-Box Q3
geehrc,geehrc Optimus G nitrogen_geehrc LGE,LGE Optimus G
gelatods_cis-xxx,LG-P698 gelatods_cis-xxx lge_gelatods gelatods LGE lge,LGE LG-P698
