01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
SOYES_7S,SOYES_7S mt6580 alps,Alps SOYES_7S
SP-5050,Siragon mt6582 SP-5050,Siragon SP-5050
SP35,mt6575 SP35 Goldstar,Goldstar SP35
SP704C,SP704C rk29board unknown,Unknown SP704C
sp7710ga,Fly sc7710g IQ449 sp7710ga,Fly IQ449
sp7710ga_trout,FLY Fly IQ436 sc7710g sp7710ga_trout,FLY IQ436
sp7731c_1h10,883A SuperKing SPRD sp7731c_1h10,SPRD 883A
sp7731c_1h10_32v4,sp7731c_telcel_unlock SENWA sp7731c_1h10_32v4 S471,S471
sp9830aef_5m_volte,sp9830aef5mvolteoversea sc9830 sp9830aef_5m_volte Aqua_Eco_4G,Aqua_Eco_4G sp9830aef5mvolteoversea
sp9832a_2h11_volte,Karbonn Aura Power 4G sp9832a_2h11_volte sc9832 Karbonn sp9832a_2h11_4mvoltesea,Karbonn Aura Power 4G
sp9832a_3h10_volte,sp9832a_3h10_volte VOLT sc9832a sp9832a_3h10_5mvolte,VOLT
sp9832iea_4m_volte,sp9832iea_4m_volte_dt sc9832 Intex Cloud String HD sp9832iea_4m_volte,Intex Cloud String HD
Space Phone 5G#daisy,150817,modify,I9508,mt6735 Space Phone 5G#daisy 150817 modify I9508 World Space Phone 5G,World Space Phone 5G
Spark,Q203 VOBIS qcom Spark,VOBIS Spark
Sparkle_V_sprout,Sparkle V Sparkle_V Sparkle_V_sprout sprout Karbonn google,Karbonn Sparkle V
spcwifi,GT-B9150 samsung spc spcwifixx spcwifi,Samsung GT-B9150
speed,qcom N9130 zte speed,Zte N9130
speedy_cheets,ASUS Chromebook C201PA speedy google speedy_cheets cheets,Google ASUS Chromebook C201PA
sperry,qcom sperry motorola Moto E (4) sperry_sprint,Motorola Moto E (4)
SPH-M930,samsung SPH-M930,Samsung SPH-M930
spirit,spirit LG magna h422 lineage_spirit,LG h422
SPNG9716,SPNG9716 rk29board unknown,Unknown SPNG9716
sprout,Google sprout cm_sprout Samsung SM-G900H,Google SM-G900H
sprout4,Sparkle V Sparkle_V sprout Karbonn google sprout4,Karbonn Sparkle_V
sprout8,A1 Google sprout aosp_sprout8 sprout8 google,Google A1
SS5B7BA_ME003,amlogic Amlogic SS5B7BA_ME003 Android,Amlogic SS5B7BA_ME003
SS6B7DL_SA016,amlogic SS6B7DL_SA016 Amlogic Android,Amlogic SS6B7DL_SA016
ST1009,ST1009 Smartab sofiaboard Southern Telecom,Southern Telecom ST1009
ST10408-5,ST10408-5 TrekStor breeze 10.1 quad mt8127,TrekStor breeze 10.1 quad
ST15i,Sony Ericsson ST15i semc SEMC,Sony Ericsson ST15i
ST17i,Sony Ericsson ST17i semc SEMC,Sony Ericsson ST17i
ST18i,Sony Ericsson ST18i semc SEMC,Sony Ericsson ST18i
ST21,Sony ST21i ST21i_1257-4009 sony ST21,Sony ST21i
ST21a,Sony ST21a ST21a_1264-5726,Sony ST21a
ST21i,Sony ST21i ST21i_1264-6184,Sony ST21i
ST21i2,Sony ST21i2 ST21i2_1265-1039,Sony ST21i2
ST25i,Sony ST25i_1262-1658 st-ericsson ST25i SEMC,Sony ST25i
ST26a,Sony ST26a ST26a_1271-2986,Sony ST26a
ST26i,Sony ST26i_1268-1097 ST26i,Sony ST26i
ST27i,Sony ST27i st-ericsson ST27i_1265-2284 SEMC,Sony ST27i
ST70408-1,ST70408-1 sun6i fiber_q7s Allwinner-Tablet unknown,Unknown ST70408-1
Star,LAVA Star mt6582,LAVA Star
star2lte,samsung star2lte SM-G965F samsungexynos8895 star2ltexx,Samsung SM-G965F
star2qltechn,star2qltezh samsung SM-G9650 qcom star2qltechn,Samsung SM-G9650
star2qltecs,samsung qcom star2qltecs SM-G965W,Samsung SM-G965W
star2qltesq,star2qltesq samsung qcom SM-G965U,Samsung SM-G965U
star2qlteue,samsung qcom star2qlteue SM-G965U1,Samsung SM-G965U1
StarBoxTitan,amlogic MBX StarBoxTitan,MBX StarBoxTitan
stark,Z798BL stark qcom ZTE,ZTE Z798BL
starlte,starlte samsung samsungexynos8890 starltexx SM-G960F,Samsung SM-G960F
STARNAUTE4,mt6580 ALTICE STARNAUTE4 MOBIWIRE,MOBIWIRE STARNAUTE4
starqltesq,samsung qcom SM-G960U starqltesq,Samsung SM-G960U
starqlteue,samsung qcom starqlteue SM-G960U1,Samsung SM-G960U1
stingray,MOTOROLA Xoom LTE stingray full_stingray Android,MOTOROLA Xoom LTE
stollen,Z983 qcom ZTE stollen,ZTE Z983
Stratus1,Fly Stratus1 FS401 scx15,Fly FS401
Stratus_5,Fly Stratus_5 c390_ttc_0p1 FS406,Fly FS406
Stratus_6,Fly Stratus_6 sp7731c_1h10_32v4 FS407,Fly FS407
Stratus_7,Fly mt6570 Stratus_7 FS458,Fly FS458
Stratus_8,Fly mt6570 Stratus_8 FS408,Fly FS408
Stratus_9,FS409 Fly Stratus_9 sc9832,Fly FS409
STUDIO,BLU STUDIO 5.0 BLU mt6577 STUDIO,BLU STUDIO 5.0
Studio_G2_HD,mt6580 Studio_G2_HD Studio G2 HD BLU,BLU Studio G2 HD
Studio_G_HD,mt6580 Studio_G_HD BLU BLU_Studio_G_HD BLU Studio G HD,BLU Studio G HD
STUDIO_SELFIE,STUDIO SELFIE mt6580 STUDIO_SELFIE BLU,BLU STUDIO SELFIE
stvm8b,amlogic MBX stvm8b XS,MBX XS
stvm9,amlogic MyGica Quad core Enjoy tv box stvm9 Android,Amlogic MyGica Quad core Enjoy tv box
stvmx,amlogic MBX Geniatech MX Enjoy TV BOX stvmx,Geniatech MX Enjoy TV BOX
stvs9,stvs9 amlogic buzztv XPL 3000 BuzzTV,Buzztv XPL 3000
su760,lge_Cosmopolitan su760 omap4430 LGE LG-SU760 lge,LGE LG-SU760
suez,suez mt8173 KFSUWI Amazon,Amazon KFSUWI
sugar-A18_au8723A054,sugar_A18_au8723A054 A18-D sun7i sugar-A18_au8723A054 softwinners unknown,Unknown A18-D
sugar-spc,sugar-spc sun7i softwinners unknown Smartee Dual Core 3.1 sugar_spc,Unknown Smartee Dual Core 3.1
sumire,Sony sumire qcom Xperia Z5 lineage_sumire,Sony Xperia Z5
SUNNY S52D,alps mt6572 SUNNY S52D,Alps SUNNY S52D
suntory,Acer B1-770 suntory mt8127 B1-770_WW_GEN1,Acer B1-770
supersonic,htc_supersonic PC36100 HTC KDDI supersonic,HTC PC36100
SUPRA_M727G,alps SUPRA_M727G SUPRA M727G mt8312,Alps SUPRA M727G
SurfTab,TrekStor redhookbay Xintroni10.1 SurfTab,TrekStor Xintroni10.1
surnia_cdma,Moto E LTE (2nd gen) qcom XT1526 surnia_cdma Motorola,Motorola Moto E LTE (2nd gen)
surnia_uds,surnia_uds Moto E LTE (2nd gen) qcom Motorola XT1521,Motorola Moto E LTE (2nd gen)
surnia_umts,XT1527 Moto E LTE (2nd gen) qcom Motorola surnia_umts,Motorola Moto E LTE (2nd gen)
suzu,Sony pa_suzu suzu Xperia X (AOSPA),Sony Xperia X (AOSPA)
suzuran,Sony suzuran qcom E5823,Sony E5823
SVP-DTV15,Sony odroidxu3 hardkernel SVPDTV15_UC SVP-DTV15 ODROID-XU4,Hardkernel SVPDTV15_UC
SVPDTV15,Sony rk30board BRAVIA 2015 SVP-DTV15 SVPDTV15,Sony SVP-DTV15
sw01,amlogic sw01 Abox Android,Amlogic Abox
sweet,qcom ZTE sweet Z839,ZTE Z839
SWIPE_ELITE,SWIPE qcom SWIPE_ELITE Elite Sense,SWIPE Elite Sense
Symphony H175,Symphony H175 Symphony mt6735 aosp_Symphony H175,Symphony H175
Symphony,mt6592 Symphony ZIII Xplorer,Symphony ZIII
symphony_V80,mt6582 symphony_V80 symphony V80,Symphony V80
SYMPHONY_W22,SYMPHONY_W22 Symphony Symphony Xplorer W22 SageReal mt6572,SageReal Symphony Xplorer W22
T-Tab,TCT Mobile Europe SAS T-Mobile Telekom Puls mt8127 T-Tab Telekom_Puls,TCT Mobile Europe SAS Telekom Puls
T00F,WW_T00F T00F ASUS_T00F redhookbay asus,ASUS_T00F
t00q,WW_ZenFone ASUS_T00Q redhookbay asus,ASUS_T00Q
T01,Acer acer T01 qcom T01_ww,Acer T01
t03g,samsung GT-N7100 t03g smdk4x12 t03gxx,Samsung GT-N7100
t0lte,GT-N7105 samsung smdk4x12 t0lte,Samsung GT-N7105
t0lteatt,t0lteatt samsung smdk4x12 lineage_t0lte SGH-I317,Samsung SGH-I317
t0ltecan,samsung smdk4x12 t0lteub SGH-I317M t0ltecan,Samsung SGH-I317M
t0ltektt,samsung smdk4x12 lineage_t0ltekor t0ltektt SHV-E250K,Samsung t0ltekor
t0ltelgt,samsung SHV-E250L t0ltelgt,Samsung SHV-E250L
t0ltetmo,mk_t0lte samsung SGH-T889 t0ltetmo smdk4x12,Samsung mk_t0lte
t0ltevzw,samsung t0ltevzw smdk4x12 Verizon SCH-I605,Samsung SCH-I605
T1,mt6580 T1,T1
T10M,mt6735 cube CRA1001 T10M,Cube CRA1001
t10_e3c5,mt8173 Teclast t10_e3c5 T10(E3C5),Teclast T10(E3C5)
t10_e3c5_g,mt8173 Teclast t10_e3c5_g T10(E3C5),Teclast T10(E3C5)
t10_e3c6_g,mt8173 Teclast t10_e3c6_g T10(E3C6),Teclast T10(E3C6)
T11,mt6592 DU_T11 T11 THL THL T11,THL T11
t13_S013_Diamond_64_4,t13_S013_Diamond_64_4 D100 sc7731c Diamond t13_S013_Diamond_64_4_dt,Diamond D100
T18045C3_KYR,Q327 Micromax sc7731 T18045C3_KYR,Micromax Q327
t1lte,LG-V930 t1lte_att_us t1lte LGE lge,LGE LG-V930
t260_td_yl,OPPO t260_td_yl mt6572,OPPO
t3-p1,t3-p1 JLY sun8iw11p1 t3_p1 Allwinner SNTron,Allwinner JLY
t3-p3,t3_p3 sun8iw11p1 QUAD-CORE T3 p3 t3-p3 Allwinner,Allwinner QUAD-CORE T3 p3
T35,T35 sc8830 Panasonic Panasonic T35 PANASONIC,Panasonic T35
t36b_ego,alps t36b_ego EGO mt6572,Alps EGO
T5,T5 LEAGOO mt6755,LEAGOO T5
t530_dg_a54,mt6580 DOOGEE X9 Mini t530_dg_a54,DOOGEE X9 Mini
t55_uw5009k_mplore,t55_uw5009k_mplore mt6580 Vortex Volt 8 full_t55_uw5009k_mplore VORTEX,Vortex Volt 8
t6,t6 qcom HTC htc_europe htc One Max,HTC One Max
T62B,Boeye T62B rk30board rk30sdk,Boeye rk30sdk
t662_gq_ulefone,Ulefone mt6580 t662_gq_ulefone Ulefone S7,Ulefone S7
T6pro,T6pro lineage_T6pro Doogee T6pro mt6735 Doogee,Doogee T6pro
t6ul,HTC htc HTC_0P3P5 t6ul telstra_wwe,HTC_0P3P5
t6whl,t6whl HTC htc sprint_wwe HTC0P3P7,HTC0P3P7
T700i_3G,sofia3g T700i_3G Intel 4Good,4Good T700i_3G
T72HA 3G,mt8312c Oysters T72HA 3G,Oysters T72HA 3G
T74D_3G,mt6580 T74D_3G Oysters,Oysters T74D_3G
T74ER,sun8i T74ER Oysters,Oysters T74ER
t750,positivo t750 Positivo T750 mt8312 Positivo,Positivo T750
T8-MX,mt6735 cube T8-MX,Cube T8-MX
T8-PLUS,mt6735 T8-PLUS CUBE,CUBE T8-PLUS
T8-PLUSM,mt6735 CUBE T8-PLUSM,CUBE T8-PLUSM
t800p_m703g,alps t800p_m703g mt6572 VOX,Alps VOX
T806,mt6735 Jlinksz T806,Jlinksz T806
T814,T814 SmartTab_8004 Essentielb anzhen4_mrd7 Sourcing_Creation,Sourcing_Creation SmartTab_8004
t816_gq_ulefone,mt6755 ulefone MIX t816_gq_ulefone,Ulefone MIX
t822w3_v1_c_httz_d006_lc,t822w3_v1_c_httz_d006_lc mt6580 BYLYND M7 full_t822w3_v1_c_httz_d006_lc,BYLYND M7
t828w_v1_b_lj_a9p_cellalluer,mt6580 full_t828w_v1_b_lj_a9p_cellalluer Miracle 6.0 S Cellallure t828w_v1_b_lj_a9p_cellalluer,Miracle 6.0 S
t8400n,t8400n nabi FUHU DMTAB-NV08B,FUHU DMTAB-NV08B
T84Ni_3G,mt6580 Oysters T84Ni_3G,Oysters T84Ni_3G
t856_c,Ark_Electronic_Technology mt6735 M503 t856_c ARK,Ark_Electronic_Technology M503
t856_m_gu,Ark_Electronic_Technology mt6735 ARK t856_m_gu Benefit_M503,Ark_Electronic_Technology Benefit_M503
t898w_v1_ag_gqbn_p554ag_movic,mt6580 full_t898w_v1_ag_gqbn_p554ag_movic MOVIC_W1 MOVIC W1 MT2 t898w_v1_ag_gqbn_p554ag_movic,MOVIC_W1 MOVIC W1
t8e,T8E t8e EBEN T7 ErenEben qcom ERENEBEN,ERENEBEN EBEN T7
t8lte,t8lte LGE lge t8lte_tmo_us LG-V496,LGE LG-V496
t8_e8c1,mt8173 Teclast t8_e8c1 T8(E8C1),Teclast T8(E8C1)
t8_e8c1_g,mt8173 Teclast T8 t8_e8c1_g,Teclast T8
T9,T9 CUBE mt8752,CUBE T9
T900H,S109 mt6735 T900H ZFINER,ZFINER T900H
T939,Philips MSM8674AB T939,Philips T939
t960w_v1_o_frog_m01b_w5_1s,mt6580 alps MOVIC-W5 full_t960w_v1_o_frog_m01b_w5_1s t960w_v1_o_frog_m01b_w5_1s,Alps MOVIC-W5
t961w_v1_d_yx_s55_m557_1s,mt6580 full_t961w_v1_d_yx_s55_m557_1s S-TELL M557 t961w_v1_d_yx_s55_m557_1s,S-TELL M557
TAB-A03-BR,benesse STS-TOTTORI TAB-A03-BR pxa1928,STS-TOTTORI TAB-A03-BR
TAB-A03-BR2,benesse STS-TOTTORI TAB-A03-BR2 pxa1928,STS-TOTTORI TAB-A03-BR2
TAB-A03-BS,benesse TAB-A03-BS STS-TOTTORI pxa1928,STS-TOTTORI TAB-A03-BS
TAB264,TAB264 Yarvik sun4i unknown crane_inet,Unknown TAB264
Tab2A7-10F,Lenovo LENOVO Tab2A7-10F mt8127,LENOVO Tab2A7-10F
Tab2A7-20F,Lenovo Tab2A7-20F mt8127,Lenovo Tab2A7-20F
Tab2A710F,cm_Tab2A710F mt8127 lenovo Tab2A710F,Lenovo Tab2A710F
Tab7,mt8163 Tab7 unknown,Unknown Tab7
Tab8,mt6580 Tab8,Tab8
TABEO8,archos TABEO8 rk30board TABEO 8 RKTABEO8 tabeo,Archos TABEO 8
Tablet_DL_3903,X-QUAD_CORE_2 rk30board DL Tablet_DL_3903,Tablet_DL_3903
Tab_8_4C,anzhen4_mrd7 3G i80 intel Tab_8_4C,Intel 3G i80
taidos_row,XT1700 mt6735 motorola taidos_row,Motorola XT1700
taido_row,taido_row mt6735 motorola XT1706,Motorola XT1706
taimen,Pixel 2 XL taimen Google google,Google Pixel 2 XL
tangxun6572_we_l,SM-J700F samsung alps full_tangxun6572_we_l tangxun6572_we_l mt6589,Alps SM-J700F
tank,full_tank mt8127 AFTT Amazon tank,Amazon AFTT
taoshan,Sony C2105 qcom Xperia L taoshan,Sony Xperia L
tass,gt-s5570board cm_tass Samsung tass GT-S5570,Samsung GT-S5570
tassve,tassve GT-S5570i cm_tassve Samsung gt-s5570iboard,Samsung GT-S5570i
tate,android tate bowser cm_tate google Amazon Tate,Android Amazon Tate
taurus,Xiaomi taurus mt6577 MI 2A,Xiaomi MI 2A
TB-7304F,TB-7304F Lenovo LENOVO Lenovo TB-7304F mt8167 LenovoTB-7304F,Lenovo TB-7304F
TB-7703X,Lenovo LENOVO Lenovo TB-7703X qcom TB-7703X,Lenovo TB-7703X
TB-8504F,TB-8504F Lenovo LENOVO qcom Lenovo TB-8504F,Lenovo TB-8504F
TB-8504X,Lenovo LENOVO qcom Lenovo TB-8504X TB-8504X,Lenovo TB-8504X
TB-8703F,Lenovo LENOVO TB-8703F qcom Lenovo TB-8703F,Lenovo TB-8703F
TB-8703X,Lenovo TB-8703X LENOVO qcom Lenovo TB-8703X,Lenovo TB-8703X
TB-8704F,Lenovo LENOVO TB-8704F qcom Lenovo TB-8704F,Lenovo TB-8704F
TB-8804F,Lenovo LENOVO TB-8804F qcom Lenovo TB-8804F,Lenovo TB-8804F
TB-X103F,Lenovo LENOVO qcom Lenovo TB-X103F TB-X103F,Lenovo TB-X103F
TB100,RTC ventana asus TB100 KDDI,Asus TB100
TB2-X30F,Lenovo LENOVO qcom TB2-X30F Lenovo TB2-X30F,Lenovo TB2-X30F
TB2-X30L,Lenovo LENOVO TB2-X30L qcom Lenovo TB2-X30L,Lenovo TB2-X30L
TB3-710F,Lenovo TB3-710F Lenovo TB3-710F mt8127 LenovoTB3-710F,Lenovo TB3-710F
TB3-710I,Lenovo TB3-710I mt6580 Lenovo TB3-710I LenovoTB3-710I,Lenovo TB3-710I
TB3-730F,Lenovo LENOVO TB3-730F mt6735 Lenovo TB3-730F,Lenovo TB3-730F
TB3-730X,Lenovo LENOVO TB3-730X mt6735 Lenovo TB3-730X,Lenovo TB3-730X
TB3-850F,Lenovo LENOVO TB3-850F mt6735 Lenovo TB3-850F LenovoTB3-850F,Lenovo TB3-850F
TB3-850M,Lenovo LENOVO LenovoTB3-850M mt6735 TB3-850M Lenovo TB3-850M,Lenovo TB3-850M
tblteatt,SAMSUNG-SM-N915A samsung qcom tblteuc tblteatt,SAMSUNG-SM-N915A
tbltetmo,samsung SM-N915T qcom tbltetmo,Samsung SM-N915T
tbook10s_e6n1_dg,TECLAST inet_w tbook10s_e6n1_dg intel TbooK 10 S(E6N1),TECLAST TbooK 10 S(E6N1)
tbook16power_m5f8_dg,TbooK 16 Power(M5F8) Teclast r2_cht_ffd tbook16power_m5f8_dg,Teclast TbooK 16 Power(M5F8)
tc28b_i950g,tc28b_i950g tc28b_i950gb IPRO Kylin 5.0,IPRO Kylin 5.0
tc28b_i9556,tc28b_i9556B IPRO Kylin 5.5 tc28b_i9556,IPRO Kylin 5.5
tcc8900,tcc8900 telechips MID7016,Telechips MID7016
tcc8920st,SKYWORTH_SMART_BOARD telechips full_tcc8920st_evm tcc8920st Android,Telechips SKYWORTH_SMART_BOARD
tcl_eu,Percee TV tcl_eu mt5891 TCL,TCL Percee TV
TE45B3G,sc7731 Prestigio TE45B3G PSP3458DUO,Prestigio PSP3458DUO
TE45B7G,PSP3468DUO c152_tmk_011 Prestigio TE45B7G,Prestigio PSP3468DUO
TE50B2G,TE50B2G sc7731 PSP3517DUO Prestigio,Prestigio PSP3517DUO
TE50B6G,PSP3527DUO Prestigio c173_tmk_021 TE50B6G,Prestigio PSP3527DUO
tecno w2,mt6580 TECNO tecno w2,Tecno w2
TECNO-CX-Air,H3713 TECNO TECNO-CX-Air mt6735 TECNO CX Air,TECNO CX Air
TECNO-J5,TECNO-J5 mt6580 TECNO,TECNO-J5
TECNO-J8,TECNO mt6735 TECNO-J8,TECNO-J8
TECNO-L8,mt6580 TECNO TECNO-L8,TECNO-L8
TECNO-L9Plus,H8011 mt6580 TECNO TECNO L9 Plus TECNO-L9Plus,TECNO L9 Plus
TECNO-S5,Micromax TECNO lcsh72_we_jb3 TECNO-S5 TECNO S5 mt6572,Micromax TECNO S5
TECNO-W3,mt6580 TECNO TECNO-W3,TECNO-W3
TECNO-W5,TECNO mt6735 TECNO-W5,TECNO-W5
TECNO-WX3,mt6580 TECNO H8014 TECNO-WX3 TECNO WX3,TECNO WX3
TECNO_W1,mt6580 TECNO TECNO W1 TECNO_W1 B40030,TECNO W1
Tele2 Maxi LTE,mt6735 Tele2 Tele2 Maxi LTE lineage_maxi_lte,Tele2 Maxi LTE
Tele2 Mini 1.1,mt6580 Tele2 Tele2 Mini 1.1 cm_Tele2 Mini 1.1,Tele2 Mini 1.1
Tele2_Midi_1.1,mt6580 Tele2 Tele2_Midi_1.1,Tele2_Midi_1.1
Tele2_midi_LTE,lineage_Tele2_midi_LTE Tele2 midi LTE mt6735 Haier Tele2_midi_LTE,Haier Tele2 midi LTE
Tele2_Mini,Tele2_Mini Fortune Ship Tele2 mt6572,Fortune Ship Tele2_Mini
Tele2_Mini_1.1,Tele2_Mini_1.1 mt6580 Tele2,Tele2_Mini_1.1
Tele2_Mini_1_1,Tele2_Mini_1_1 mt6580 Cetrix Tele2,Cetrix Tele2_Mini_1_1
TELEFUNKEN,TEL-1013GIQA mt6580 TELEFUNKEN,TELEFUNKEN TEL-1013GIQA
TELETALK,TELETALK Colors mt6589 X150,TELETALK X150
Telsa,TCT ALCATEL ONE TOUCH 6010D ALCATEL_ONE_TOUCH_6010D Telsa mt6577,TCT ALCATEL ONE TOUCH 6010D
tenderloin,touchpad Touchpad tenderloin HP,Touchpad
tenshi,Aquaris U Plus tenshi qcom bq,Bq Aquaris U Plus
terra_cheets,terra_cheets terra ASUS Chromebook C202SA google cheets,Google ASUS Chromebook C202SA
testdd6737m_35g_m0,testdd6737m_35g_m0 alps Y928QD mt6735 full_testdd6737m_35g_m0,Alps Y928QD
tf101,tf101 ventana Transformer TF101 full_tf101 asus,Asus Transformer TF101
TF201,US_epad TF201 cardhu Transformer Prime TF201 asus,Asus Transformer Prime TF201
tf201t,cardhu tf201t full_tf201t TF201T unknown Asus,Unknown TF201T
tf300t,cardhu tf300t full_tf300t TF300T unknown Asus,Unknown TF300T
tf700t,cardhu TF700T tf700t full_tf700t unknown Asus,Unknown TF700T
tf701t,tf701t K00C macallan asus,Asus K00C
tf840,tf840 tf840_tmo_us LGE lge LG-V530,LGE LG-V530
thea,qcom thea motorola Moto G 2014 LTE lineage_thea,Motorola Moto G 2014 LTE
thea_ds,qcom motorola thea_ds Moto G 2014 LTE lineage_thea,Motorola Moto G 2014 LTE
thea_umtsds,thea_umtsds qcom motorola thea_retbr_ds XT1078,Motorola XT1078
thebes,thebes KFTBWI full_thebes Amazon mt8135,Amazon KFTBWI
thl T9 Pro,MT6737 thl thl T9 Pro,Thl T9 Pro
thl,mt6592 T200 thl,Thl T200
thor,thor SHIELD qcom slim_thor Foxconn nvidia,Foxconn SHIELD
Thor_E,mt6735 Thor E Thor_E vernee,Vernee Thor E
thor_k506,Thor mt6735 full_thor_k506 thor_k506 Vernee,Vernee Thor
Thor_Plus,Thor Plus mt6735 Thor_Plus vernee,Vernee Thor Plus
thunderbird,P706T_NoModem Dell thunderbird Tablet7 Venue 7 3730 dell,Dell Venue 7 3730
thunderc,LGE LG-VM670 thunderc,LGE LG-VM670
thunderg,LG-P500 thunderg LGE,LGE LG-P500
tianyu72_t_cmcc_lca,tianyu72_t_cmcc_lca alps K-Touch T60 K-Touch mt6572,K-Touch T60
tianyu72_wet_jb3,tianyu72_wet_jb3 PKT-301 mt6572 SPA CONDOR ELECTRONICS,SPA CONDOR ELECTRONICS PKT-301
tianyu92_wet_td,alps Nibiru H1 tianyu92_wet_td mt6582,Alps Nibiru H1
tiffany,xiaomi Xiaomi qcom MI 5X tiffany,Xiaomi MI 5X
tiger6,LG-F460K g3_global_com LGE lge tiger6,LGE LG-F460K
tilapia,tilapia Google grouper aosp_tilapia Nexus 7 3G Asus,Asus Nexus 7 3G
TinBoost,qcom TinBoost motorola XT320 Motorola,Motorola XT320
tinnoes73_s8030,CINK tinnoes73_s8030 mt6573 Wiko,Wiko CINK
tinnoes73_s8030_2g,Fly Fly IQ245 tinnoes73_s8030_2g mt6573,Fly IQ245
tint8_att,tint8_att ATT qcom 9020A TCL,TCL 9020A
tissot,Xiaomi qcom tissot Mi A1 fh_tissot,Xiaomi Mi A1
tissot_sprout,Xiaomi qcom Mi A1 tissot_sprout lineage_tissot,Xiaomi Mi A1
titan,qcom lineage_titan motorola titan,Motorola titan
TitaniumVista4G,TitaniumVista4G mt6735 Karbonn Titanium Vista 4G,Karbonn Titanium Vista 4G
titan_udstv,viper_titan qcom motorola Moto G 2014 titan_udstv,Motorola viper_titan
titan_umts,qcom titan_retla motorola XT1063 titan_umts,Motorola XT1063
titan_umtsds,qcom lineage_titan motorola titan_umtsds Moto G 2014,Motorola Moto G 2014
tizen,OpenMobile World Wide Tizen Phone with ACL tizen Samsung unknown,OpenMobile World Wide Tizen Phone with ACL
TM101AM,NUVISION_101_INTERNET_TABLET NUVISION mt8127 TM101A620M TM101AM,NUVISION TM101A620M
tm7099rev1,tm7099rev1 teXet TM-7099 mt8312,TeXet TM-7099
tm7877,mt8382 tm7877 teXet X-pad STYLE 8 3G,TeXet X-pad STYLE 8 3G
TM800AR,NUVISION NUVISION_800_INTERNET_TABLET sofiaboard TM800A612R TM800AR,NUVISION TM800A612R
tm809,amlogic Ainol Novo8 Advanced ainol tm809 generic,Ainol Novo8 Advanced
TMK715L,Condor SPA Condor Electronics mt6735 TMK715L,SPA Condor Electronics TMK715L
togari,Sony togari qcom C6833 Xperia Z Ultra,Sony Xperia Z Ultra
tolino8,byt_t_crv2 tolino tab 8 TrekStor tolino8,TrekStor tolino tab 8
tolino89,TrekStor rk30board tolino89 Iriver tolino tab 8.9,Iriver tolino tab 8.9
tolino_vision2,freescale tolino Telekom tolino_vision2 generic,Telekom tolino
Topaz,Philips W8510 Philips Philips-Topaz mt6589 Topaz,Philips W8510
Tornado,Explay Tornado mt6582,Explay Tornado
toro,Google tuna Galaxy Nexus mysid Samsung toro,Samsung Galaxy Nexus
toshiba,TOSHIBA TOSHIBA_TV toshiba aosp_toshiba monet,TOSHIBA_TV
TOSHIBA_AC_AND_AZ,TOSHIBA_AC_AND_AZ TOSHIBA unknown,TOSHIBA_AC_AND_AZ
tostab12BA,AT10LE-A tostab12BA TOSHIBA,TOSHIBA AT10LE-A
totoro,samsung totoro GT-S5360 Samsung bcm21553,Samsung GT-S5360
touchplus01a_s10a,M4 SS4453 qcom M4 touchplus01a_s10a,M4 SS4453
TOUGH,B15 CAT mt6577 Compal TOUGH,Compal B15
toughpad,FZ-A1B panasonic toughpad PANASONIC,PANASONIC FZ-A1B
tp601a,TP601A tp601a qcom TP-LINK cm_tp601a,TP-LINK TP601A
TR10CS1_19,ECS TR10CS1_19 TR10CS1 JP TR10CS1_JP3,ECS TR10CS1
TR10CS1_8,ECS TR10CS1 TR10CS1_IUSA2 TR10CS1_8 IUSA,ECS TR10CS1
TR10RS1_1,i-Buddie TR10RS1 ECS TR10RS1_i_Buddie TR10RS1_1,ECS TR10RS1
TR55515,NEVO_II_5.0 TR55515 sc8830 KAZAM_Trooper_555,NEVO_II_5.0
TR6L5035,qcom X50-H1 TR6L5035 KAZAM Trooper_650_4G,KAZAM Trooper_650_4G
transformers,amlogic transformers Xiaomi MiBOX4,Xiaomi MiBOX4
tre3g,samsung tre3gxx SM-N930F universal5433 tre3g,Samsung SM-N930F
trelte,samsung treltexx SM-N930F universal5433 trelte,Samsung SM-N930F
trelteskt,samsung SM-N910S universal5433 trelteskt,Samsung SM-N910S
treltexx,samsung treltexx SM-N910C universal5433,Samsung SM-N910C
trhplte,trhpltexx samsung SM-N910U universal5433 trhplte,Samsung SM-N910U
Trio-Stealth G4 10.1,alps mt8127 Trio-Stealth G4 10.1,Alps Trio-Stealth G4 10.1
trlte,samsung qcom trlte SM-N910F trltexx,Samsung SM-N910F
trlteatt,samsung SAMSUNG-SM-N910A qcom trlteuc trlteatt,SAMSUNG-SM-N910A
trltecan,samsung qcom SM-N910W8 trltecan,Samsung SM-N910W8
trltechn,samsung qcom SM-N915F trlteduoszc trltechn,Samsung SM-N915F
trltespr,samsung SM-N910P qcom trltespr,Samsung SM-N910P
trltetmo,samsung qcom SM-N910T trltetmo,Samsung SM-N910T
trlteusc,samsung qcom SM-N910R4 trlteusc,Samsung SM-N910R4
trltevzw,samsung qcom SM-N910V trltevzw,Samsung SM-N910V
trltexx,samsung qcom cm_trltexx SM-N910F trltexx,Samsung SM-N910F
trunk,lineage_trunk qcom elephone trunk,Elephone trunk
